Year,real.consumption.earnings
1664,39.26
1665,31.74
1666,36.87
1667,36.91
1668,35.98
1669,35.68
1670,36.95
1671,36.81
1672,38.03
1673,38.87
1674,35.09
1675,34.38
1676,36.29
1677,36.90
1678,37.32
1679,33.58
1680,36.07
1681,38.76
1682,37.22
1683,38.55
1684,38.03
1685,37.43
1686,40.13
1687,39.54
1688,40.98
1689,45.41
1690,41.79
1691,40.70
1692,41.59
1693,38.44
1694,36.71
1695,34.89
1696,34.62
1697,32.35
1698,31.54
1699,30.77
1700,35.44
1701,41.31
1702,43.11
1703,45.33
1704,42.90
1705,47.09
1706,41.99
1707,48.17
1708,47.08
1709,37.09
1710,32.94
1711,30.87
1712,41.45
1713,43.29
1714,41.83
1715,42.31
1716,43.87
1717,46.61
1718,47.38
1719,44.08
1720,43.25
1721,43.03
1722,44.95
1723,50.48
1724,45.23
1725,42.52
1726,41.83
1727,44.12
1728,42.87
1729,41.25
1730,48.16
1731,52.04
1732,51.20
1733,54.95
1734,51.37
1735,51.46
1736,53.46
1737,49.60
1738,50.47
1739,51.32
1740,43.65
1741,41.68
1742,45.80
1743,48.94
1744,55.54
1745,54.35
1746,50.14
1747,50.77
1748,49.28
1749,47.73
1750,48.62
1751,47.37
1752,44.52
1753,45.06
1754,45.62
1755,47.99
1756,44.52
1757,32.68
1758,34.64
1759,42.47
1760,44.75
1761,45.31
1762,43.65
1763,48.11
1764,42.67
1765,40.47
1766,40.47
1767,35.05
1768,39.20
1769,45.45
1770,43.60
1771,41.59
1772,40.02
1773,39.87
1774,40.63
1775,40.95
1776,43.74
1777,42.99
1778,42.95
1779,45.46
1780,45.49
1781,42.96
1782,42.55
1783,41.68
1784,43.22
1785,45.25
1786,46.13
1787,45.59
1788,45.74
1789,46.50
1790,45.05
1791,46.37
1792,48.46
1793,47.83
1794,48.46
1795,44.89
1796,45.84
1797,51.77
1798,52.80
1799,45.77
1800,37.23
1801,39.43
1802,50.08
1803,51.72
1804,50.61
1805,48.09
1806,50.47
1807,51.14
1808,48.71
1809,45.73
1810,46.22
1811,45.60
1812,42.00
1813,41.69
1814,45.74
1815,51.10
1816,45.97
1817,44.84
1818,44.94
1819,46.52
1820,48.64
1821,49.86
1822,53.16
1823,50.57
1824,49.01
1825,47.23
1826,49.31
1827,50.65
1828,50.10
1829,48.96
1830,50.11
1831,49.77
1832,51.76
1833,53.88
1834,55.38
1835,56.91
1836,53.02
1837,52.01
1838,50.91
1839,50.05
1840,50.81
1841,51.75
1842,54.55
1843,58.47
1844,56.89
1845,57.30
1846,53.30
1847,51.01
1848,57.09
1849,58.47
1850,60.78
1851,62.08
1852,62.06
1853,56.99
1854,55.82
1855,56.08
1856,56.69
1857,57.50
1858,62.12
1859,62.07
1860,59.19
1861,59.23
1862,60.05
1863,62.42
1864,63.91
1865,64.66
1866,62.97
1867,60.36
1868,61.77
1869,65.49
1870,66.32
1871,66.57
1872,67.34
1873,70.31
1874,73.36
1875,74.01
1876,74.07
1877,74.12
1878,75.26
1879,77.38
1880,76.21
1881,77.87
1882,78.53
1883,78.91
1884,81.33
1885,83.32
1886,83.35
1887,85.49
1888,86.83
1889,87.91
1890,90.71
1891,91.22
1892,91.17
1893,92.63
1894,95.70
1895,97.03
1896,98.45
1897,98.01
1898,98.10
1899,100.84
1900,100.00
1901,101.34
1902,101.34
1903,100.54
1904,100.94
1905,101.15
1906,102.48
1907,103.10
1908,102.50
1909,102.30
1910,101.06
1911,102.23
1912,101.61
1913,104.22
1914,102.65
1915,105.70
1916,101.74
1917,103.87
1918,105.67
1919,109.63
1920,109.58
1921,112.13
1922,104.81
1923,102.96
1924,105.30
1925,106.05
1926,104.21
1927,108.99
1928,107.65
1929,109.19
1930,111.18
1931,113.77
1932,114.33
1933,116.15
1934,117.42
1935,118.48
1936,120.77
1937,119.81
1938,122.66
1939,120.47
1940,132.76
1941,130.95
1942,137.66
1943,146.41
1944,144.91
1945,140.20
1946,141.52
1947,142.28
1948,143.97
1949,145.98
1950,147.08
1951,148.08
1952,144.78
1953,148.11
1954,154.18
1955,159.25
1956,163.75
1957,166.28
1958,167.20
1959,170.74
1960,179.20
1961,185.71
1962,184.43
1963,188.30
1964,197.95
1965,202.70
1966,207.42
1967,210.50
1968,219.51
1969,224.74
1970,237.75
1971,243.36
1972,255.69
1973,267.72
1974,275.10
1975,289.13
1976,291.23
1977,278.62
1978,293.64
1979,307.77
1980,324.66
1981,330.38
1982,335.22
1983,347.15
1984,353.74
1985,367.17
1986,383.60
1987,401.12
1988,422.14
1989,439.57
1990,454.30
1991,455.35
1992,462.92
1993,465.07
1994,473.24
1995,476.04
1996,481.75
1997,494.00
1998,511.74
1999,528.14
2000,546.01
2001,567.09
2002,577.79
2003,588.36
2004,605.86
2005,621.37
2006,635.76
2007,651.62
2008,651.33
2009,637.04
2010,630.91
2011,618.10
2012,609.34
2013,601.08
2014,599.71
2015,614.05
2016,624.50
